#id         START     END   LENGTH OBS  DC    MAG       PER[h]  PER_ERR    AMP[mag]
48990      92.7050  94.3601 1.6759  54 0.659 21.021
49039      91.1929  93.0524 1.8803  63 0.685 19.282  >72.                 >0.8
49193      73.8652  74.7847 0.9403  36 0.783 19.654    5.66     0.55       0.400
50261      75.6838  77.2572 1.5942  61 0.782 19.800
50274      84.0412  84.4294 0.4090  19 0.950 20.614
50487     103.0853 103.8209 0.7564  26 0.703 20.499
51902      95.4635  98.0586 2.6159  92 0.719 19.933
52191      73.5383  74.7030 1.1855  46 0.793 20.031
52431      90.2734  92.3372 2.0846  67 0.657 20.925
52786      67.8169  72.2305 4.4344 147 0.677 21.171 >144.                 >0.5
52816      98.4877 101.3484 2.8815  91 0.645 21.439
53120      85.4715  85.8802 0.4295  15 0.714 19.358
53909      80.0157  82.6517 2.6568 103 0.792 20.165
54853      69.6150  73.2726 3.6784 127 0.706 20.336
55257      83.3873  84.9198 1.5533  52 0.684 19.943
55346      74.6621  77.7272 3.0859  95 0.629 21.009
55459      97.9564  99.8363 1.9007  67 0.720 20.248
55949      70.2689  71.4541 1.2060  49 0.831 19.382   11.16     0.15       0.324
56523      68.5729  72.4349 3.8828 137 0.721 20.915
56586      81.2622  84.0820 2.8406  97 0.698 20.261
57156      89.0065  90.1508 1.1651  49 0.860 20.528
57648      28.5231  31.7516 3.2493 134 0.843 18.357    8.359    0.079      0.266
58171      70.7184  73.6813 2.9837 117 0.801 20.388
63432      91.8877  94.6258 2.7589  76 0.563 21.240
63802      80.0975  80.4857 0.4090  18 0.900 20.926
64020      92.7867  96.0561 3.2902  87 0.540 21.716
65994      92.0920  95.8518 3.7806 128 0.692 21.103
66340      94.4214  96.9756 2.5750  70 0.556 20.307  >62.                 >1.0
67087      85.5328  87.8214 2.3094  89 0.788 20.251   17.7      1.5        0.316
67432      99.7546 101.6958 1.9620  46 0.479 21.517
69759      75.0095  77.8089 2.8202  81 0.587 20.047  >41.                 >0.6
69853     104.1683 104.8834 0.7359  34 0.944 19.871    8.17     0.83       0.454
71188      78.5854  83.1421 4.5775 160 0.714 20.750
71544      77.3389  77.8906 0.5725  22 0.786 20.482
72061      97.9769  99.4685 1.5124  51 0.689 20.528
72069      95.4840  97.1595 1.6963  48 0.578 20.297
72096      95.7292  98.1199 2.4115  51 0.432 21.283
72109      75.9903  78.1767 2.2072  89 0.824 20.588
73745      85.4511  87.4127 1.9824  56 0.577 20.689
74032      98.0586  99.0599 1.0221  36 0.720 20.852
74048     104.8630 105.1695 0.3273  13 0.813 21.164
74702      78.6467  81.8752 3.2493  97 0.610 20.758
74994      97.0574  99.8363 2.7997 103 0.752 21.445
75077      99.8568 100.3267 0.4907  16 0.667 19.927
76023      96.8122  99.4481 2.6567  89 0.685 20.382
76037      96.1174  98.8351 2.7385  95 0.709 21.038
76734      71.3519  76.5420 5.2109 180 0.706 21.147
76894      86.3502  88.2300 1.9006  57 0.613 20.997
77887      81.2622  83.6734 2.4320  92 0.773 20.882
78480      83.7142  86.9427 3.2493 107 0.673 20.674
78643      99.7546 101.6141 1.8803  56 0.609 20.326
78790      93.9310  96.7509 2.8407  85 0.612 20.520
79071      67.6125  71.4541 3.8624 128 0.677 20.597
79126      84.7155  88.1687 3.4740 114 0.671 21.042
79177      97.0982  99.8363 2.7589  80 0.593 21.497
79325      79.1780  80.8739 1.7167  44 0.524 21.131
80431     103.4122 104.1274 0.7360  17 0.472 21.035
80983      98.9168 101.1645 2.2685  80 0.721 21.002
81178     102.8605 105.1695 2.3298  72 0.632 21.042
81228      87.2084  90.2938 3.1062  99 0.651 20.980
81267      93.2158  96.5057 3.3107 108 0.667 20.771
81828      92.0307  94.1762 2.1663  72 0.679 20.037
82547      99.8568 102.2066 2.3706  70 0.603 20.999
82681      97.7725  98.6921 0.9404  18 0.391 21.213
83505      90.8455  92.9502 2.1255  79 0.760 20.191
84504      99.6524 101.5528 1.9212  39 0.415 21.138
85232      99.7955 102.4927 2.7180  71 0.534 21.473
86653     101.3689 103.2896 1.9415  63 0.663 21.219
87649      78.6263  80.8739 2.2684  70 0.631 19.658
88597      92.8480  93.3589 0.5317  14 0.538 21.271
89969     101.9001 102.5949 0.7156  20 0.571 21.012
90068      91.7242  93.7471 2.0437  63 0.630 20.631
