# Frequency content of the K2-E2 RR Lyrae stars
#
# Frequency identifications:
# f_0: fundamental mode
# f_1: first overtone
# f_2: suspected second overtone
# f_X: the common additional mode in RRc stars (also f_X' in one instance)
# f_g: suspected gravity mode
# f_corr: frequency of the attitude correction maneuvers
#
# EPIC    	 Freq  		  Amp  		  Phase  	  D_freq  	 D_amp  	 D_phase  	 Identification
# -       	 1/d  	 	 mag  		  rad/2pi  	  1/d  		 mag  		 rad/2pi  	 -
#
60018224  	 6.52941  	  0.01883  	 0.1901  	  0.00095  	 0.00038  	 0.0025  	 2f_1
60018224  	 9.7941  	  0.01218  	 0.1366  	  0.0015  	 0.00036  	 0.0038  	 3f_1
60018224  	 13.0588  	  0.00500  	 0.0303  	  0.0036  	 0.00038  	 0.0092  	 4f_1
60018224  	 16.3235  	  0.00302  	 0.861  	  0.0059  	 0.00036  	 0.015  	 5f_1
60018224  	 19.588  	  0.00186  	 0.681  	  0.010  	 0.00038  	 0.025  	 6f_1
60018224  	 22.853  	  0.00126  	 0.473  	  0.014  	 0.00034  	 0.037  	 7f_1
60018224  	 5.3117  	  0.01135  	 0.2369  	  0.0016  	 0.00039  	 0.0041  	 f_X
60018224  	 10.623  	  0.00128  	 0.818  	  0.014  	 0.00038  	 0.036  	 2f_X
60018224  	 2.6462  	  0.00290  	 0.844  	  0.0062  	 0.00036  	 0.016  	 0.5f_X
60018224  	 7.9803  	  0.00293  	 0.214  	  0.0061  	 0.00038  	 0.016  	 1.5f_X
60018224  	 2.047  	  0.00210  	 0.978  	  0.008  	 0.00037  	 0.022  	 f_X-f_1
60018224  	 8.576  	  0.00201 	 0.865  	  0.009  	 0.00038  	 0.023  	 f_X+f_1
60018224  	 11.841  	  0.00105  	 0.350  	  0.017  	 0.00033  	 0.044  	 f_X+2f_1
60018224  	 15.106  	  0.00063  	 0.982  	  0.028  	 0.00033  	 0.073  	 f_X+3f_1
60018224  	 13.888  	  0.00078  	 0.476  	  0.023  	 0.00032  	 0.059  	 2f_X+f_1
60018224  	 5.911  	  0.00092  	 0.517  	  0.019  	 0.00033  	 0.050  	 0.5f_X+f_1
60018224  	 11.245  	  0.00219  	 0.920  	  0.008  	 0.00036  	 0.021  	 1.5f_X+f_1
60018224  	 14.510  	  0.00073  	 0.556  	  0.024  	 0.00036  	 0.063  	 1.5f_X+2f_1


60018238 	 3.63898 	 0.21832 	 0.2380 	 0.00015 	 0.00057 	 0.0004 	 f_1
60018238 	 7.27796 	 0.03804 	 0.9708 	 0.00085 	 0.00054 	 0.0022 	 2f_1
60018238 	 10.9169 	 0.01884 	 0.6711 	 0.0017 	 0.00055 	 0.0044 	 3f_1
60018238 	 14.5559 	 0.01301 	 0.4697 	 0.0025 	 0.00054 	 0.0064 	 4f_1
60018238 	 18.1949 	 0.00870 	 0.169  	 0.0037 	 0.00054 	 0.010  	 5f_1
60018238 	 21.8339 	 0.00529 	 0.819  	 0.0061 	 0.00052 	 0.016  	 6f_1
60018238 	 25.473 	 0.00271 	 0.468  	 0.012  	 0.00054 	 0.031  	 7f_1*
60018238 	 29.112 	 0.00120 	 0.102  	 0.027  	 0.00051 	 0.070  	 8f_1*
60018238 	 5.913  	 0.00202 	 0.889  	 0.016  	 0.00058 	 0.041  	 f_X
60018238 	 6.017  	 0.00202 	 0.550  	 0.016  	 0.00054 	 0.041  	 f_X'
60018238 	 9.552  	 0.00050 	 0.355  	 0.064  	 0.00042 	 0.167  	 f_1+f_X
60018238 	 8.166  	 0.00202 	 0.563  	 0.016  	 0.00054 	 0.041  	 f_corr



60018678  	 2.31241  	  0.17577  	 0.19002  	  0.00011  	 0.00036  	 0.00028  	 f_1 
60018678  	 4.62482  	  0.02024  	 0.9722  	  0.00096  	 0.00037  	 0.0025  	 2f_1
60018678  	 6.9372  	  0.01181  	 0.7038  	  0.0016  	 0.00041  	 0.0043  	 3f_1
60018678  	 9.2496  	  0.00501  	 0.4301  	  0.0038  	 0.00042  	 0.0098  	 4f_1
60018678  	 11.562  	  0.00187  	 0.216  	  0.010  	 0.00040  	 0.026  	 5f_1
60018678  	 13.874  	  0.00169  	 0.012  	  0.011  	 0.00035  	 0.029  	 6f_1
60018678  	 16.187  	  0.00146  	 0.722  	  0.013  	 0.00036  	 0.033  	 7f_1
60018678  	 18.499  	  0.00108  	 0.386  	  0.016  	 0.00038  	 0.041  	 8f_1
60018678  	 20.812  	  0.00063  	 0.081  	  0.027  	 0.00036  	 0.069  	 9f_1
60018678  	 3.7312  	  0.00385  	 0.084  	  0.0049  	 0.00039  	 0.013  	 f_X
60018678  	 1.859  	  0.00178  	 0.710  	  0.010  	 0.00040  	 0.027  	 0.5f_X
60018678  	 5.579  	  0.00145  	 0.001  	  0.012  	 0.00035  	 0.031  	 1.5f_X
60018678  	 6.044  	  0.00185  	 0.527  	  0.011  	 0.00042  	 0.028  	 f_X+f_1
60018678  	 8.356  	  0.00193  	 0.996  	  0.010  	 0.00038  	 0.025  	 f_X+2f_1
60018678  	 10.668  	  0.00073  	 0.491  	  0.029  	 0.00034  	 0.075  	 f_X+3f_1
60018678  	 7.892  	  0.00118  	 0.472  	  0.021  	 0.00037  	 0.055  	 1.5f_X+f_1
